parameter;param_value;run_id;timestamp;optimizer;activation;batch_size;learning_rate;dense_layers;input_size;epoch;Total epochs;train_acc;val_acc;test_acc;train_loss;val_loss;epoch_time;total_time_s
optimizer;SGD;1;20251129_033008;SGD;ReLU;4;0.001;1;64;1;10;0.7294642857142856;0.8874999999999945;0.9268292682926716;0.6791460550966715;0.3915915861725783;43.013.810.205.459.500;43.013.810.205.459.500
optimizer;SGD;1;20251129_033008;SGD;ReLU;4;0.001;1;64;2;10;0.800892857142857;0.8749999999999946;0.9024390243902329;0.5532567834570293;0.65904646068811;704.236.829.996.109;1.134.374.932.050.700
optimizer;SGD;1;20251129_033008;SGD;ReLU;4;0.001;1;64;3;10;0.8047619047619046;0.8812499999999945;0.9634146341463298;0.530430868197055;0.49555302038788485;7.046.197.578.907.010;18.389.946.899.414.000
optimizer;SGD;1;20251129_033008;SGD;ReLU;4;0.001;1;64;4;10;0.8089285714285712;0.8749999999999946;0.9146341463414523;0.5378015047737529;0.523389036208388;7.201.582.078.933.710;2.559.152.897.834.770
optimizer;SGD;1;20251129_033008;SGD;ReLU;4;0.001;1;64;5;10;0.8101190476190474;0.9499999999999941;0.9999999999999879;0.5394233907262482;0.1376408196985713;7.058.754.930.496.210;32.650.283.908.843.900
optimizer;SGD;1;20251129_033008;SGD;ReLU;4;0.001;1;64;6;10;0.8169642857142855;0.8624999999999946;0.9268292682926716;0.5166802817512125;0.604218062758442;7.069.291.379.451.750;39.719.575.288.295.700
optimizer;SGD;1;20251129_033008;SGD;ReLU;4;0.001;1;64;7;10;0.8273809523809521;0.956249999999994;0.9634146341463298;0.5139179412807736;0.10100746527314124;7.068.854.305.744.170;4.678.842.959.403.990
optimizer;SGD;1;20251129_033008;SGD;ReLU;4;0.001;1;64;8;10;0.8348214285714284;0.8812499999999945;0.9390243902438911;0.45695532113313664;0.5662950009107555;7.120.506.272.315.970;539.089.358.663.559
optimizer;SGD;1;20251129_033008;SGD;ReLU;4;0.001;1;64;9;10;0.8187499999999998;0.974999999999994;0.9634146341463298;0.5073179491928644;0.06050498113036118;721.148.521.900.177;6.112.042.108.535.760
optimizer;SGD;1;20251129_033008;SGD;ReLU;4;0.001;1;64;10;10;0.8374999999999998;0.9437499999999941;0.9146341463414523;0.47319565731145075;0.227343043684958;7.107.787.039.279.930;682.282.081.246.376
optimizer;Adam;2;20251129_052836;Adam;ReLU;4;0.001;1;64;1;10;0.7309523809523808;0.9187499999999943;0.9878048780487685;0.63852396742219;0.26450376138090925;7.094.814.071.655.270;7.094.814.071.655.270
optimizer;Adam;2;20251129_052836;Adam;ReLU;4;0.001;1;64;2;10;0.7809523809523807;0.8687499999999946;0.9146341463414523;0.5673590217672642;0.3356730982661226;7.064.170.861.244.200;14.158.984.932.899.400
optimizer;Adam;2;20251129_052836;Adam;ReLU;4;0.001;1;64;3;10;0.8113095238095236;0.9124999999999943;0.9512195121951104;0.4989401229080698;0.3498456627130487;7.072.307.207.584.380;21.231.292.140.483.800
optimizer;Adam;2;20251129_052836;Adam;ReLU;4;0.001;1;64;4;10;0.8193452380952378;0.8937499999999945;0.9268292682926716;0.5040037057584239;0.3349350653588751;7.201.769.757.270.810;2.843.306.189.775.460
optimizer;Adam;2;20251129_052836;Adam;ReLU;4;0.001;1;64;5;10;0.8241071428571426;0.8499999999999948;0.9146341463414523;0.46570131714854907;0.3901206165552115;7.095.671.977.996.820;35.528.733.875.751.400
optimizer;Adam;2;20251129_052836;Adam;ReLU;4;0.001;1;64;6;10;0.8098214285714284;0.9874999999999938;0.9878048780487685;0.4999139808118342;0.05632222592830623;7.099.544.246.196.740;4.262.827.812.194.820
