parameter,param_value,run_id,timestamp,optimizer,activation,batch_size,learning_rate,dense_layers,input_size,epochs,epoch,train_acc,val_acc,test_acc,train_loss,val_loss,epoch_time,total_time_s
activation,ReLU,1,20251201_213200,Adam,ReLU,12,0.001,1,64,10,1,0.8220238095238093,0.9124999999999943,0.9756097560975492,0.4405959479244691,0.2463700443622641,721.398375749588,721.398375749588
activation,ReLU,1,20251201_213200,Adam,ReLU,12,0.001,1,64,10,2,0.9059523809523807,0.9437499999999941,0.9878048780487685,0.2643735685651855,0.15123258373350743,722.9497213363647,1444.3480970859528
activation,ReLU,1,20251201_213200,Adam,ReLU,12,0.001,1,64,10,3,0.9175595238095235,0.9937499999999938,0.9999999999999879,0.22172270809034145,0.04513449998921687,728.4180052280426,2172.7661023139954
activation,ReLU,1,20251201_213200,Adam,ReLU,12,0.001,1,64,10,4,0.9065476190476188,0.9812499999999938,0.9999999999999879,0.24082365738660358,0.06224065953865609,727.5657019615173,2900.3318042755127
activation,ReLU,1,20251201_213200,Adam,ReLU,12,0.001,1,64,10,5,0.9264880952380949,0.9812499999999938,0.9878048780487685,0.20763382263082472,0.04979796103943923,724.172632932663,3624.5044372081757
activation,ReLU,1,20251201_213200,Adam,ReLU,12,0.001,1,64,10,6,0.9160714285714283,0.9812499999999938,0.9999999999999879,0.2287901630292513,0.05193897871649792,718.8575551509857,4343.361992359161
activation,ReLU,1,20251201_213200,Adam,ReLU,12,0.001,1,64,10,7,0.9226190476190473,0.9937499999999938,0.9878048780487685,0.20577944081409696,0.03276830632530598,721.6314523220062,5064.993444681168
activation,ReLU,1,20251201_213200,Adam,ReLU,12,0.001,1,64,10,8,0.9208333333333331,0.9874999999999938,0.9878048780487685,0.21640202357999178,0.027260092295864354,721.6144292354584,5786.607873916626
activation,ReLU,1,20251201_213200,Adam,ReLU,12,0.001,1,64,10,9,0.9360119047619045,0.974999999999994,0.9878048780487685,0.17370063205598849,0.05421524923294749,722.8132696151733,6509.421143531799
activation,ReLU,1,20251201_213200,Adam,ReLU,12,0.001,1,64,10,10,0.9372023809523807,0.9999999999999938,0.9878048780487685,0.17501630196514137,0.013831730955280277,718.6610589027405,7228.08220243454
activation,LeakyReLU,2,20251201_233254,Adam,LeakyReLU,12,0.001,1,64,10,1,0.8279761904761902,0.962499999999994,0.9999999999999879,0.4257104665440107,0.10150024329777745,725.5328738689423,725.5328738689423
activation,LeakyReLU,2,20251201_233254,Adam,LeakyReLU,12,0.001,1,64,10,2,0.8937499999999997,0.9937499999999938,0.9999999999999879,0.27339675103181166,0.0468228867975992,717.9841976165771,1443.5170714855194
activation,LeakyReLU,2,20251201_233254,Adam,LeakyReLU,12,0.001,1,64,10,3,0.9181547619047616,0.974999999999994,0.9999999999999879,0.21495772306142102,0.06958511286647948,730.6093504428864,2174.1264219284058
activation,LeakyReLU,2,20251201_233254,Adam,LeakyReLU,12,0.001,1,64,10,4,0.9244047619047616,0.9937499999999938,0.9878048780487685,0.20911174668331758,0.037396522794733524,736.819762468338,2910.946184396744
activation,LeakyReLU,2,20251201_233254,Adam,LeakyReLU,12,0.001,1,64,10,5,0.9273809523809521,0.9937499999999938,0.9999999999999879,0.19447066768438417,0.027255625213729047,718.3840799331665,3629.3302643299103
activation,LeakyReLU,2,20251201_233254,Adam,LeakyReLU,12,0.001,1,64,10,6,0.9148809523809521,0.9937499999999938,0.9999999999999879,0.2259642049304342,0.017199865092697914,719.3400747776031,4348.670339107513
activation,LeakyReLU,2,20251201_233254,Adam,LeakyReLU,12,0.001,1,64,10,7,0.9184523809523807,0.9999999999999938,0.9999999999999879,0.23006562726721827,0.016590986338269328,724.51256108284,5073.182900190353
activation,LeakyReLU,2,20251201_233254,Adam,LeakyReLU,12,0.001,1,64,10,8,0.9321428571428569,0.9874999999999938,0.9878048780487685,0.1819780199389372,0.03442289078448063,728.4510862827301,5801.6339864730835
activation,LeakyReLU,2,20251201_233254,Adam,LeakyReLU,12,0.001,1,64,10,9,0.9297619047619045,0.9999999999999938,0.9878048780487685,0.189031125719027,0.020322994840444027,734.0453119277954,6535.679298400879
activation,LeakyReLU,2,20251201_233254,Adam,LeakyReLU,12,0.001,1,64,10,10,0.9339285714285712,0.9999999999999938,0.9999999999999879,0.1713795076440354,0.013066869870271976,716.7727415561676,7252.4520399570465
activation,GELU,3,20251202_012817,Adam,GELU,12,0.001,1,64,10,1,0.8380952380952379,0.974999999999994,0.9999999999999879,0.42260812458449165,0.09434907815302664,723.3278915882111,723.3278915882111
activation,GELU,3,20251202_012817,Adam,GELU,12,0.001,1,64,10,2,0.9083333333333331,0.9999999999999938,0.9999999999999879,0.2525735559673713,0.0571667732438069,494.1290726661682,1217.4569642543793
activation,GELU,3,20251202_012817,Adam,GELU,12,0.001,1,64,10,3,0.9211309523809521,0.9874999999999938,0.9878048780487685,0.21952031410764897,0.06845807416248093,669.7654926776886,1887.2224569320679
activation,GELU,3,20251202_012817,Adam,GELU,12,0.001,1,64,10,4,0.9145833333333331,0.968749999999994,0.9999999999999879,0.21247395315939288,0.08526693234598444,730.6119902133942,2617.834447145462
activation,GELU,3,20251202_012817,Adam,GELU,12,0.001,1,64,10,5,0.9306547619047617,0.9874999999999938,0.9756097560975492,0.1889437636327264,0.03892001881486043,725.5077414512634,3343.3421885967255
activation,GELU,3,20251202_012817,Adam,GELU,12,0.001,1,64,10,6,0.9258928571428569,0.962499999999994,0.9756097560975492,0.20568477352748488,0.12696287129438055,711.7650074958801,4055.1071960926056
activation,GELU,3,20251202_012817,Adam,GELU,12,0.001,1,64,10,7,0.920238095238095,0.9937499999999938,0.9878048780487685,0.21410427289998285,0.03818662323246803,713.4881718158722,4768.595367908478
activation,GELU,3,20251202_012817,Adam,GELU,12,0.001,1,64,10,8,0.9187499999999997,0.9812499999999938,0.9878048780487685,0.21143372547812755,0.051275341160726066,711.1417553424835,5479.737123250961
activation,GELU,3,20251202_012817,Adam,GELU,12,0.001,1,64,10,9,0.9398809523809522,0.9937499999999938,0.9999999999999879,0.17311861239473464,0.021028365054371403,720.0114140510559,6199.748537302017
activation,GELU,3,20251202_012817,Adam,GELU,12,0.001,1,64,10,10,0.9369047619047617,0.9812499999999938,0.9999999999999879,0.17996481087923577,0.039266867181868045,721.0662944316864,6920.814831733704
activation,Swish,4,20251202_032923,Adam,Swish,12,0.001,1,64,10,1,0.826785714285714,0.9437499999999941,0.9634146341463298,0.4370917851371423,0.14691897034644988,730.4714291095734,730.4714291095734
activation,Swish,4,20251202_032923,Adam,Swish,12,0.001,1,64,10,2,0.9008928571428569,0.9999999999999938,0.9999999999999879,0.2697725032655788,0.0278575399424879,723.2716164588928,1453.7430455684662
activation,Swish,4,20251202_032923,Adam,Swish,12,0.001,1,64,10,3,0.9220238095238092,0.9874999999999938,0.9999999999999879,0.2161499325152752,0.05591976764262619,720.9465491771698,2174.689594745636
activation,Swish,4,20251202_032923,Adam,Swish,12,0.001,1,64,10,4,0.9148809523809521,0.974999999999994,0.9999999999999879,0.22737040965418726,0.05979131237254441,734.967312335968,2909.656907081604
activation,Swish,4,20251202_032923,Adam,Swish,12,0.001,1,64,10,5,0.9223214285714283,0.9874999999999938,0.9878048780487685,0.20284510858057594,0.03862013147768242,721.7659158706665,3631.4228229522705
activation,Swish,4,20251202_032923,Adam,Swish,12,0.001,1,64,10,6,0.9220238095238092,0.968749999999994,0.9999999999999879,0.19872218713862816,0.08992450567861796,726.2215139865875,4357.644336938858
activation,Swish,4,20251202_032923,Adam,Swish,12,0.001,1,64,10,7,0.9229166666666664,0.9874999999999938,0.9878048780487685,0.21104213044579534,0.03193912103351957,722.3408119678497,5079.985148906708
