parameter,param_value,run_id,timestamp,optimizer,activation,batch_size,learning_rate,dense_layers,input_size,epochs,epoch,train_acc,val_acc,test_acc,train_loss,val_loss,epoch_time,total_time_s
batch_size,4,1,20251201_134038,Adam,ReLU,4,0.001,1,64,10,1,0.7360119047619046,0.9124999999999943,0.9756097560975492,0.6499595670473006,0.22393843531608443,714.7780771255493,714.7780771255493
batch_size,4,1,20251201_134038,Adam,ReLU,4,0.001,1,64,10,2,0.7979166666666665,0.812499999999995,0.8414634146341361,0.5184040287066072,0.7811715103685807,706.7510476112366,1421.529124736786
batch_size,4,1,20251201_134038,Adam,ReLU,4,0.001,1,64,10,3,0.8080357142857141,0.9249999999999943,0.9634146341463298,0.502855298703625,0.16855053380131615,720.6304614543915,2142.1595861911774
batch_size,4,1,20251201_134038,Adam,ReLU,4,0.001,1,64,10,4,0.813988095238095,0.9249999999999943,0.9634146341463298,0.5020899810606524,0.21045122817158568,695.2796773910522,2837.4392635822296
batch_size,4,1,20251201_134038,Adam,ReLU,4,0.001,1,64,10,5,0.8217261904761902,0.956249999999994,0.9512195121951104,0.4917821895508538,0.09051079079508725,701.6169903278351,3539.0562539100647
batch_size,4,1,20251201_134038,Adam,ReLU,4,0.001,1,64,10,6,0.844940476190476,0.9124999999999943,0.9146341463414523,0.4465937547030902,0.1864259257912624,699.8712997436523,4238.927553653717
batch_size,4,1,20251201_134038,Adam,ReLU,4,0.001,1,64,10,7,0.832440476190476,0.9062499999999943,0.9512195121951104,0.432103038898536,0.3203120842576007,703.9373512268066,4942.864904880524
batch_size,4,1,20251201_134038,Adam,ReLU,4,0.001,1,64,10,8,0.8407738095238093,0.956249999999994,0.9634146341463298,0.4471015785066853,0.10817779526114396,712.8729944229126,5655.737899303436
batch_size,4,1,20251201_134038,Adam,ReLU,4,0.001,1,64,10,9,0.8342261904761903,0.968749999999994,0.9634146341463298,0.4563415138849189,0.08269588872790286,704.4497656822205,6360.187664985657
batch_size,4,1,20251201_134038,Adam,ReLU,4,0.001,1,64,10,10,0.8357142857142855,0.962499999999994,0.9512195121951104,0.4697612308320544,0.08995096087455694,704.0793216228485,7064.266986608505
batch_size,8,2,20251201_153735,Adam,ReLU,8,0.001,1,64,10,1,0.8172619047619045,0.968749999999994,0.9999999999999879,0.44308687487528425,0.09577516093850076,682.6795377731323,682.6795377731323
batch_size,8,2,20251201_153735,Adam,ReLU,8,0.001,1,64,10,2,0.8735119047619045,0.9187499999999943,0.9634146341463298,0.32787428434406,0.23633951470255704,703.8667547702789,1386.5462925434113
batch_size,8,2,20251201_153735,Adam,ReLU,8,0.001,1,64,10,3,0.8845238095238093,0.9937499999999938,0.9999999999999879,0.31031947540385374,0.034490948170423294,706.2352602481842,2092.7815527915955
batch_size,8,2,20251201_153735,Adam,ReLU,8,0.001,1,64,10,4,0.8952380952380949,0.9374999999999942,0.9512195121951104,0.2807218686810561,0.11412146314978529,700.427978515625,2793.2095313072205
batch_size,8,2,20251201_153735,Adam,ReLU,8,0.001,1,64,10,5,0.8848214285714283,0.9874999999999938,0.9999999999999879,0.3065761993683519,0.054546018689870496,695.6115868091583,3488.821118116379
batch_size,8,2,20251201_153735,Adam,ReLU,8,0.001,1,64,10,6,0.9053571428571426,0.9812499999999938,0.9878048780487685,0.2615780774326551,0.05846498981118166,706.1154701709747,4194.9365882873535
batch_size,8,2,20251201_153735,Adam,ReLU,8,0.001,1,64,10,7,0.8999999999999998,0.962499999999994,0.9999999999999879,0.27145022565410243,0.05201080441474882,701.3885462284088,4896.325134515762
batch_size,8,2,20251201_153735,Adam,ReLU,8,0.001,1,64,10,8,0.8997023809523808,0.9937499999999938,0.9999999999999879,0.2815274550091652,0.020322788506746167,706.1646211147308,5602.489755630493
batch_size,8,2,20251201_153735,Adam,ReLU,8,0.001,1,64,10,9,0.9053571428571426,0.968749999999994,0.9756097560975492,0.24207853160443754,0.07239852398633911,702.009628534317,6304.49938416481
batch_size,8,2,20251201_153735,Adam,ReLU,8,0.001,1,64,10,10,0.9017857142857141,0.9437499999999941,0.9634146341463298,0.2730587224520387,0.1329394795000545,709.8946130275726,7014.393997192383
batch_size,12,3,20251201_173524,Adam,ReLU,12,0.001,1,64,10,1,0.8410714285714284,0.956249999999994,0.9999999999999879,0.42579167765964343,0.14900189973413852,710.0495672225952,710.0495672225952
batch_size,12,3,20251201_173524,Adam,ReLU,12,0.001,1,64,10,2,0.9062499999999998,0.9937499999999938,0.9878048780487685,0.243635083907949,0.04760586635675252,698.9271409511566,1408.9767081737518
batch_size,12,3,20251201_173524,Adam,ReLU,12,0.001,1,64,10,3,0.8991071428571427,0.974999999999994,0.9878048780487685,0.26106370042876464,0.07214289943221912,716.2990272045135,2125.2757353782654
batch_size,12,3,20251201_173524,Adam,ReLU,12,0.001,1,64,10,4,0.9276785714285711,0.9812499999999938,0.9999999999999879,0.1890051038603165,0.06648930106603033,701.5185449123383,2826.7942802906036
batch_size,12,3,20251201_173524,Adam,ReLU,12,0.001,1,64,10,5,0.9249999999999997,0.968749999999994,0.9878048780487685,0.20169657636101218,0.06134871655667628,696.4225256443024,3523.216805934906
batch_size,12,3,20251201_173524,Adam,ReLU,12,0.001,1,64,10,6,0.9276785714285711,0.974999999999994,0.9999999999999879,0.1945301647572445,0.04122063260947445,705.9004414081573,4229.117247343063
batch_size,12,3,20251201_173524,Adam,ReLU,12,0.001,1,64,10,7,0.9309523809523808,0.9874999999999938,0.9999999999999879,0.18669891813063125,0.024229129939703702,707.4304828643799,4936.547730207443
batch_size,12,3,20251201_173524,Adam,ReLU,12,0.001,1,64,10,8,0.9318452380952379,0.9937499999999938,0.9999999999999879,0.19239584069083707,0.019162079916713873,713.8112857341766,5650.35901594162
batch_size,12,3,20251201_173524,Adam,ReLU,12,0.001,1,64,10,9,0.9318452380952379,0.9999999999999938,0.9999999999999879,0.1936397202470938,0.020714718919771127,703.3964450359344,6353.755460977554
batch_size,12,3,20251201_173524,Adam,ReLU,12,0.001,1,64,10,10,0.9309523809523808,0.9874999999999938,0.9999999999999879,0.18992898966618144,0.03819147435606259,711.7547025680542,7065.5101635456085
batch_size,16,4,20251201_193129,Adam,ReLU,16,0.001,1,64,10,1,0.8404761904761903,0.9499999999999941,0.9878048780487685,0.4171422298110666,0.14815815463662055,484.49053382873535,484.49053382873535
batch_size,16,4,20251201_193129,Adam,ReLU,16,0.001,1,64,10,2,0.9095238095238093,0.968749999999994,0.9878048780487685,0.24033165967890188,0.10360424220561917,692.4349999427795,1176.925533771515
batch_size,16,4,20251201_193129,Adam,ReLU,16,0.001,1,64,10,3,0.9318452380952379,0.9937499999999938,0.9999999999999879,0.19345408092652044,0.04861600697040527,704.470948934555,1881.39648270607
batch_size,16,4,20251201_193129,Adam,ReLU,16,0.001,1,64,10,4,0.9309523809523808,0.9874999999999938,0.9634146341463298,0.19816041145296318,0.06713957637548405,722.9012968540192,2604.297779560089
batch_size,16,4,20251201_193129,Adam,ReLU,16,0.001,1,64,10,5,0.9342261904761903,0.9937499999999938,0.9999999999999879,0.17824792563915248,0.022812911123037197,724.159770488739,3328.457550048828
batch_size,16,4,20251201_193129,Adam,ReLU,16,0.001,1,64,10,6,0.9449404761904759,0.9937499999999938,0.9999999999999879,0.15863956727442283,0.03251634910702685,721.7735137939453,4050.2310638427734
batch_size,16,4,20251201_193129,Adam,ReLU,16,0.001,1,64,10,7,0.9422619047619045,0.9937499999999938,0.9999999999999879,0.1526119327261334,0.028902298212051213,722.3770606517792,4772.608124494553
batch_size,16,4,20251201_193129,Adam,ReLU,16,0.001,1,64,10,8,0.9488095238095235,0.9874999999999938,0.9878048780487685,0.13728804393183613,0.03558431714773156,723.8657739162445,5496.473898410797
