parameter,param_value,run_id,timestamp,optimizer,activation,batch_size,learning_rate,dense_layers,input_size,epochs,epoch,train_acc,val_acc,test_acc,train_loss,val_loss,epoch_time,total_time_s
dense_layers,1,1,20251202_053027,Adam,ReLU,12,0.001,1,64,10,1,0.8410714285714284,0.968749999999994,0.9634146341463298,0.4142081031708844,0.11369710974395204,729.5023941993713,729.5023941993713
dense_layers,1,1,20251202_053027,Adam,ReLU,12,0.001,1,64,10,2,0.895833333333333,0.9874999999999938,0.9878048780487685,0.2595297040883451,0.06268650057027078,723.4917705059052,1452.9941647052765
dense_layers,1,1,20251202_053027,Adam,ReLU,12,0.001,1,64,10,3,0.9083333333333331,0.9874999999999938,0.9999999999999879,0.24072604450796325,0.05147828310728041,716.0335409641266,2169.027705669403
dense_layers,1,1,20251202_053027,Adam,ReLU,12,0.001,1,64,10,4,0.9232142857142854,0.9937499999999938,0.9999999999999879,0.20700921876123168,0.023142568410548705,732.8702704906464,2901.8979761600494
dense_layers,1,1,20251202_053027,Adam,ReLU,12,0.001,1,64,10,5,0.9288690476190473,0.9812499999999938,0.9999999999999879,0.19325470619369292,0.05559229576610925,727.1207933425903,3629.0187695026398
dense_layers,1,1,20251202_053027,Adam,ReLU,12,0.001,1,64,10,6,0.9255952380952378,0.9937499999999938,0.9999999999999879,0.18978787230028366,0.01756969894631755,721.0710761547089,4350.089845657349
dense_layers,1,1,20251202_053027,Adam,ReLU,12,0.001,1,64,10,7,0.9309523809523808,0.968749999999994,0.9878048780487685,0.17998852354524253,0.08018764536955082,721.951723575592,5072.041569232941
dense_layers,1,1,20251202_053027,Adam,ReLU,12,0.001,1,64,10,8,0.9300595238095235,0.9999999999999938,0.9999999999999879,0.19625971562262354,0.010324072009461751,730.134345293045,5802.175914525986
dense_layers,1,1,20251202_053027,Adam,ReLU,12,0.001,1,64,10,9,0.9258928571428569,0.9874999999999938,0.9878048780487685,0.18989170687896792,0.025106232161487996,735.4866762161255,6537.662590742111
dense_layers,1,1,20251202_053027,Adam,ReLU,12,0.001,1,64,10,10,0.9425595238095236,0.9937499999999938,0.9878048780487685,0.16571142981119916,0.028719888955674653,724.0397412776947,7261.702332019806
dense_layers,2,2,20251202_073156,Adam,ReLU,12,0.001,2,64,10,1,0.8035714285714284,0.974999999999994,0.9999999999999879,0.47190513968733794,0.0667686032829802,731.1704142093658,731.1704142093658
dense_layers,2,2,20251202_073156,Adam,ReLU,12,0.001,2,64,10,2,0.8845238095238093,0.962499999999994,0.9999999999999879,0.3178901326376944,0.09212339276054933,721.9247198104858,1453.0951340198517
dense_layers,2,2,20251202_073156,Adam,ReLU,12,0.001,2,64,10,3,0.8883928571428569,0.9937499999999938,0.9999999999999879,0.2957102936027305,0.02501702970330355,731.9645545482635,2185.0596885681152
dense_layers,2,2,20251202_073156,Adam,ReLU,12,0.001,2,64,10,4,0.8997023809523808,0.9937499999999938,0.9999999999999879,0.261881860827894,0.02626950309022488,738.7473812103271,2923.8070697784424
dense_layers,2,2,20251202_073156,Adam,ReLU,12,0.001,2,64,10,5,0.907738095238095,0.9874999999999938,0.9756097560975492,0.24100348183086934,0.04588944017013972,728.9166774749756,3652.723747253418
dense_layers,2,2,20251202_073156,Adam,ReLU,12,0.001,2,64,10,6,0.9044642857142855,0.9874999999999938,0.9999999999999879,0.24767990528905226,0.05620753929397289,722.754563331604,4375.478310585022
dense_layers,2,2,20251202_073156,Adam,ReLU,12,0.001,2,64,10,7,0.9124999999999998,0.9874999999999938,0.9999999999999879,0.2350082811533606,0.025432557065505377,726.5907866954803,5102.069097280502
dense_layers,2,2,20251202_073156,Adam,ReLU,12,0.001,2,64,10,8,0.920238095238095,0.9937499999999938,0.9999999999999879,0.22537261280563786,0.024849305580391803,731.9836382865906,5834.052735567093
dense_layers,2,2,20251202_073156,Adam,ReLU,12,0.001,2,64,10,9,0.9348214285714284,0.9999999999999938,0.9999999999999879,0.18491691915468042,0.015959158851455768,725.9687075614929,6560.021443128586
dense_layers,2,2,20251202_073156,Adam,ReLU,12,0.001,2,64,10,10,0.9175595238095235,0.9937499999999938,0.9999999999999879,0.2244364171970768,0.014399835409130812,727.0645582675934,7287.086001396179
dense_layers,3,3,20251202_093317,Adam,ReLU,12,0.001,3,64,10,1,0.7660714285714284,0.974999999999994,0.9756097560975492,0.5575750630348919,0.09804436818230836,734.4160256385803,734.4160256385803
dense_layers,3,3,20251202_093317,Adam,ReLU,12,0.001,3,64,10,2,0.8511904761904759,0.9937499999999938,0.9999999999999879,0.3763557217216916,0.03189089920415407,721.5923540592194,1456.0083796977997
dense_layers,3,3,20251202_093317,Adam,ReLU,12,0.001,3,64,10,3,0.8791666666666664,0.9874999999999938,0.9999999999999879,0.3235638594720512,0.04326833191153101,728.003603219986,2184.0119829177856
dense_layers,3,3,20251202_093317,Adam,ReLU,12,0.001,3,64,10,4,0.8994047619047617,0.9249999999999943,0.9268292682926716,0.2722323512833099,0.20469242715775962,738.3775489330292,2922.389531850815
dense_layers,3,3,20251202_093317,Adam,ReLU,12,0.001,3,64,10,5,0.907738095238095,0.9937499999999938,0.9999999999999879,0.25375041586978886,0.032698032420011965,720.9595983028412,3643.349130153656
dense_layers,3,3,20251202_093317,Adam,ReLU,12,0.001,3,64,10,6,0.9095238095238093,0.9937499999999938,0.9878048780487685,0.2767719062278046,0.030318744380292438,723.732893705368,4367.082023859024
dense_layers,3,3,20251202_093317,Adam,ReLU,12,0.001,3,64,10,7,0.9181547619047616,0.956249999999994,0.9878048780487685,0.22695369176300503,0.07528638280509721,723.9144041538239,5090.996428012848
dense_layers,3,3,20251202_093317,Adam,ReLU,12,0.001,3,64,10,8,0.9059523809523807,0.9874999999999938,0.9878048780487685,0.26061567834944327,0.05230234842929316,730.3134496212006,5821.3098776340485
dense_layers,3,3,20251202_093317,Adam,ReLU,12,0.001,3,64,10,9,0.9172619047619045,0.9937499999999938,0.9999999999999879,0.23521510495005968,0.020747264160308858,731.5906579494476,6552.900535583496
dense_layers,3,3,20251202_093317,Adam,ReLU,12,0.001,3,64,10,10,0.9160714285714283,0.9937499999999938,0.9999999999999879,0.22617977351349372,0.02540488755057579,725.860447883606,7278.760983467102
