parameter,param_value,run_id,timestamp,optimizer,activation,batch_size,learning_rate,dense_layers,input_size,epochs,epoch,train_acc,val_acc,test_acc,train_loss,val_loss,epoch_time,total_time_s
learning_rate,0.001,1,20251129_092402,Adam,ReLU,4,0.001,1,64,10,1,0.7372023809523808,0.8937499999999945,0.9024390243902329,0.6345870698136941,0.29018833488225754,714.6458032131195,714.6458032131195
learning_rate,0.001,1,20251129_092402,Adam,ReLU,4,0.001,1,64,10,2,0.7839285714285712,0.799999999999995,0.8536585365853555,0.5433080883962766,0.724086564034219,706.8027102947235,1421.448513507843
learning_rate,0.001,1,20251129_092402,Adam,ReLU,4,0.001,1,64,10,3,0.8092261904761903,0.8624999999999946,0.8902439024390136,0.5120080051322776,0.4981555923819511,705.5978722572327,2127.0463857650757
learning_rate,0.001,1,20251129_092402,Adam,ReLU,4,0.001,1,64,10,4,0.8059523809523808,0.8874999999999945,0.9146341463414523,0.5025387968335832,0.2400860778987393,715.670417547226,2842.7168033123016
learning_rate,0.001,1,20251129_092402,Adam,ReLU,4,0.001,1,64,10,5,0.8288690476190474,0.8687499999999946,0.8780487804877942,0.46653958193603,0.378560488671062,707.7551698684692,3550.471973180771
learning_rate,0.001,1,20251129_092402,Adam,ReLU,4,0.001,1,64,10,6,0.8238095238095235,0.8687499999999946,0.9390243902438911,0.5157823510468005,0.3945835851132845,691.0464797019958,4241.518452882767
learning_rate,0.001,1,20251129_092402,Adam,ReLU,4,0.001,1,64,10,7,0.8282738095238092,0.9374999999999942,0.9878048780487685,0.47524216998191093,0.13402870297431863,686.7404987812042,4928.258951663971
learning_rate,0.001,1,20251129_092402,Adam,ReLU,4,0.001,1,64,10,8,0.8422619047619045,0.9812499999999938,0.9756097560975492,0.42071664581696183,0.04163322001695607,689.6103620529175,5617.869313716888
learning_rate,0.001,1,20251129_092402,Adam,ReLU,4,0.001,1,64,10,9,0.8199404761904759,0.9062499999999943,0.9390243902438911,0.4880880532874946,0.2957785919308644,697.7354905605316,6315.60480427742
learning_rate,0.001,1,20251129_092402,Adam,ReLU,4,0.001,1,64,10,10,0.8309523809523808,0.9124999999999943,0.9634146341463298,0.4716318492733296,0.2656896390020831,684.8980886936188,7000.502892971039
learning_rate,0.002,2,20251129_111916,Adam,ReLU,4,0.002,1,64,10,1,0.7309523809523808,0.8937499999999945,0.9268292682926716,0.7816532769373483,0.3383930720388868,695.9656045436859,695.9656045436859
learning_rate,0.002,2,20251129_111916,Adam,ReLU,4,0.002,1,64,10,2,0.7964285714285713,0.8624999999999946,0.9268292682926716,0.6446678136785823,0.5361362703144517,685.9419984817505,1381.9076030254364
learning_rate,0.002,2,20251129_111916,Adam,ReLU,4,0.002,1,64,10,3,0.8065476190476188,0.9062499999999943,0.8902439024390136,0.6413821498198167,0.2941976450383645,687.2375602722168,2069.145163297653
learning_rate,0.002,2,20251129_111916,Adam,ReLU,4,0.002,1,64,10,4,0.7967261904761903,0.9499999999999941,0.9634146341463298,0.6976680579639615,0.13348608613014137,688.3940818309784,2757.5392451286316
learning_rate,0.002,2,20251129_111916,Adam,ReLU,4,0.002,1,64,10,5,0.8160714285714283,0.9062499999999943,0.9999999999999879,0.6498632085110458,0.23299590796232078,701.1522200107574,3458.691465139389
learning_rate,0.002,2,20251129_111916,Adam,ReLU,4,0.002,1,64,10,6,0.8154761904761902,0.9187499999999943,0.9024390243902329,0.6447491951286791,0.3611958764493443,689.9466905593872,4148.638155698776
learning_rate,0.002,2,20251129_111916,Adam,ReLU,4,0.002,1,64,10,7,0.8023809523809522,0.9124999999999943,0.9756097560975492,0.6596521535090036,0.3873853564262366,694.6764271259308,4843.314582824707
learning_rate,0.002,2,20251129_111916,Adam,ReLU,4,0.002,1,64,10,8,0.8187499999999998,0.9249999999999943,0.9512195121951104,0.6279657947165623,0.6871808350086169,683.4236187934875,5526.738201618195
learning_rate,0.002,2,20251129_111916,Adam,ReLU,4,0.002,1,64,10,9,0.8122023809523807,0.9374999999999942,0.9634146341463298,0.6665159947460604,0.41455459818243723,692.4766001701355,6219.21480178833
learning_rate,0.002,2,20251129_111916,Adam,ReLU,4,0.002,1,64,10,10,0.8223214285714283,0.9312499999999942,0.9512195121951104,0.6148781979367844,0.30171886906027606,692.6007232666016,6911.815525054932
learning_rate,0.003,3,20251129_131458,Adam,ReLU,4,0.003,1,64,10,1,0.7172619047619045,0.9062499999999943,0.9756097560975492,0.8772527372553233,0.2310381025075898,693.6633405685425,693.6633405685425
