parameter,param_value,run_id,timestamp,optimizer,activation,batch_size,learning_rate,dense_layers,input_size,epochs,epoch,train_acc,val_acc,test_acc,train_loss,val_loss,epoch_time,total_time_s
optimizer,SGD,1,20251129_033008,SGD,ReLU,4,0.001,1,64,10,1,0.7294642857142856,0.8874999999999945,0.9268292682926716,0.6791460550966715,0.3915915861725783,430.13810205459595,430.13810205459595
optimizer,SGD,1,20251129_033008,SGD,ReLU,4,0.001,1,64,10,2,0.800892857142857,0.8749999999999946,0.9024390243902329,0.5532567834570293,0.65904646068811,704.236829996109,1134.374932050705
optimizer,SGD,1,20251129_033008,SGD,ReLU,4,0.001,1,64,10,3,0.8047619047619046,0.8812499999999945,0.9634146341463298,0.530430868197055,0.49555302038788485,704.6197578907013,1838.9946899414062
optimizer,SGD,1,20251129_033008,SGD,ReLU,4,0.001,1,64,10,4,0.8089285714285712,0.8749999999999946,0.9146341463414523,0.5378015047737529,0.523389036208388,720.1582078933716,2559.152897834778
optimizer,SGD,1,20251129_033008,SGD,ReLU,4,0.001,1,64,10,5,0.8101190476190474,0.9499999999999941,0.9999999999999879,0.5394233907262482,0.1376408196985713,705.8754930496216,3265.0283908843994
optimizer,SGD,1,20251129_033008,SGD,ReLU,4,0.001,1,64,10,6,0.8169642857142855,0.8624999999999946,0.9268292682926716,0.5166802817512125,0.604218062758442,706.9291379451752,3971.9575288295746
optimizer,SGD,1,20251129_033008,SGD,ReLU,4,0.001,1,64,10,7,0.8273809523809521,0.956249999999994,0.9634146341463298,0.5139179412807736,0.10100746527314124,706.8854305744171,4678.842959403992
optimizer,SGD,1,20251129_033008,SGD,ReLU,4,0.001,1,64,10,8,0.8348214285714284,0.8812499999999945,0.9390243902438911,0.45695532113313664,0.5662950009107555,712.0506272315979,5390.89358663559
optimizer,SGD,1,20251129_033008,SGD,ReLU,4,0.001,1,64,10,9,0.8187499999999998,0.974999999999994,0.9634146341463298,0.5073179491928644,0.06050498113036118,721.148521900177,6112.042108535767
optimizer,SGD,1,20251129_033008,SGD,ReLU,4,0.001,1,64,10,10,0.8374999999999998,0.9437499999999941,0.9146341463414523,0.47319565731145075,0.227343043684958,710.7787039279938,6822.82081246376
optimizer,Adam,2,20251129_052836,Adam,ReLU,4,0.001,1,64,10,1,0.7309523809523808,0.9187499999999943,0.9878048780487685,0.63852396742219,0.26450376138090925,709.4814071655273,709.4814071655273
optimizer,Adam,2,20251129_052836,Adam,ReLU,4,0.001,1,64,10,2,0.7809523809523807,0.8687499999999946,0.9146341463414523,0.5673590217672642,0.3356730982661226,706.4170861244202,1415.8984932899475
optimizer,Adam,2,20251129_052836,Adam,ReLU,4,0.001,1,64,10,3,0.8113095238095236,0.9124999999999943,0.9512195121951104,0.4989401229080698,0.3498456627130487,707.2307207584381,2123.1292140483856
optimizer,Adam,2,20251129_052836,Adam,ReLU,4,0.001,1,64,10,4,0.8193452380952378,0.8937499999999945,0.9268292682926716,0.5040037057584239,0.3349350653588751,720.1769757270813,2843.306189775467
optimizer,Adam,2,20251129_052836,Adam,ReLU,4,0.001,1,64,10,5,0.8241071428571426,0.8499999999999948,0.9146341463414523,0.46570131714854907,0.3901206165552115,709.5671977996826,3552.8733875751495
optimizer,Adam,2,20251129_052836,Adam,ReLU,4,0.001,1,64,10,6,0.8098214285714284,0.9874999999999938,0.9878048780487685,0.4999139808118342,0.05632222592830623,709.9544246196747,4262.827812194824
optimizer,Adam,2,20251129_052836,Adam,ReLU,4,0.001,1,64,10,7,0.8366071428571427,0.7937499999999951,0.8536585365853555,0.4384279643141087,1.0854434035718374,707.8214974403381,4970.649309635162
optimizer,Adam,2,20251129_052836,Adam,ReLU,4,0.001,1,64,10,8,0.8193452380952378,0.968749999999994,0.9512195121951104,0.49596669333321697,0.07936984449624966,702.674941778183,5673.324251413345
optimizer,Adam,2,20251129_052836,Adam,ReLU,4,0.001,1,64,10,9,0.8336309523809522,0.8937499999999945,0.9512195121951104,0.451765320733899,0.4706384554505319,727.3620953559875,6400.686346769333
optimizer,Adam,2,20251129_052836,Adam,ReLU,4,0.001,1,64,10,10,0.8330357142857141,0.8937499999999945,0.9268292682926716,0.4528735083128724,0.4209813319146607,704.3464710712433,7105.032817840576
optimizer,AdamW,3,20251129_072719,AdamW,ReLU,4,0.001,1,64,10,1,0.7419642857142855,0.8749999999999946,0.9390243902438911,0.619192834730659,0.32513179704546724,716.3781363964081,716.3781363964081
optimizer,AdamW,3,20251129_072719,AdamW,ReLU,4,0.001,1,64,10,2,0.7898809523809521,0.8624999999999946,0.9390243902438911,0.5341820530948184,0.4047364167869066,705.71568775177,1422.093824148178
optimizer,AdamW,3,20251129_072719,AdamW,ReLU,4,0.001,1,64,10,3,0.8020833333333331,0.7937499999999951,0.9024390243902329,0.5308028888844307,1.054298343509429,709.2555208206177,2131.349344968796
optimizer,AdamW,3,20251129_072719,AdamW,ReLU,4,0.001,1,64,10,4,0.7999999999999998,0.8562499999999946,0.9146341463414523,0.5424678846129348,0.5115901075303523,716.2077791690826,2847.5571241378784
optimizer,AdamW,3,20251129_072719,AdamW,ReLU,4,0.001,1,64,10,5,0.8374999999999998,0.9499999999999941,0.9878048780487685,0.4297312074828714,0.11627648025751042,712.3413419723511,3559.8984661102295
optimizer,AdamW,3,20251129_072719,AdamW,ReLU,4,0.001,1,64,10,6,0.813988095238095,0.8562499999999946,0.8902439024390136,0.5204958625847383,0.6000638738274537,706.8469142913818,4266.745380401611
optimizer,AdamW,3,20251129_072719,AdamW,ReLU,4,0.001,1,64,10,7,0.8279761904761902,0.8999999999999944,0.9878048780487685,0.4683957845327399,0.3385751172900179,717.4395840167999,4984.184964418411
optimizer,AdamW,3,20251129_072719,AdamW,ReLU,4,0.001,1,64,10,8,0.8351190476190474,0.8687499999999946,0.9146341463414523,0.4566812947747252,0.3617331720888592,713.6675705909729,5697.852535009384
optimizer,AdamW,3,20251129_072719,AdamW,ReLU,4,0.001,1,64,10,9,0.8404761904761903,0.812499999999995,0.8780487804877942,0.45486487966208217,0.8986802056431714,718.1537265777588,6416.006261587143
optimizer,AdamW,3,20251129_072719,AdamW,ReLU,4,0.001,1,64,10,10,0.8232142857142855,0.8437499999999948,0.9268292682926716,0.4850729148302758,0.5639386609196628,704.8919649124146,7120.8982264995575
